subj_idx,change_number,rhythm,response,rt,x1,x2,x3,x4,x5,x6
7,2,1,1,0.890485400042962,0,1,0,0,1,0
7,2,0,1,1.93833879998419,0,1,0,0,0,0
7,2,1,1,1.01520100003108,0,1,0,0,1,0
7,2,1,1,0.423415299970657,0,1,0,0,1,0
7,0,1,1,1.1808245999855,1,0,0,1,0,0
7,2,0,1,0.315370000025723,0,1,0,0,0,0
7,4,0,1,1.00058220000938,0,0,1,0,0,0
7,2,1,1,1.18748339999001,0,1,0,0,1,0
7,4,1,1,0.641310699982569,0,0,1,0,0,1
7,4,0,1,0.560491100011859,0,0,1,0,0,0
7,4,1,1,0.326907499984372,0,0,1,0,0,1
7,4,1,1,0.942107199982274,0,0,1,0,0,1
7,0,0,1,0.596486099995673,1,0,0,0,0,0
7,0,0,1,1.15639770001872,1,0,0,0,0,0
7,0,0,0,0.369171600032132,1,0,0,0,0,0
7,0,0,0,0.726708800008055,1,0,0,0,0,0
7,0,1,0,0.270073499996215,1,0,0,1,0,0
7,2,0,1,0.653909399989061,0,1,0,0,0,0
7,0,1,1,0.584399199986365,1,0,0,1,0,0
7,0,1,0,0.906804399972316,1,0,0,1,0,0
7,0,1,0,0.45955570001388,1,0,0,1,0,0
7,2,1,1,0.668407900026068,0,1,0,0,1,0
7,2,1,1,0.670732599974144,0,1,0,0,1,0
7,0,0,0,0.784044600033667,1,0,0,0,0,0
7,0,1,0,1.29513729998143,1,0,0,1,0,0
7,4,0,1,1.28194219997386,0,0,1,0,0,0
7,2,1,1,1.3280139999697,0,1,0,0,1,0
7,4,1,1,0.755492000025697,0,0,1,0,0,1
7,4,0,1,0.915620699990541,0,0,1,0,0,0
7,4,0,1,0.23412019998068,0,0,1,0,0,0
7,4,1,1,0.694009600032587,0,0,1,0,0,1
7,0,1,0,1.12241150002228,1,0,0,1,0,0
7,2,0,1,0.918474600010086,0,1,0,0,0,0
7,2,1,1,0.515251100005116,0,1,0,0,1,0
7,0,0,0,1.75172719999682,1,0,0,0,0,0
7,2,0,1,1.14001299999654,0,1,0,0,0,0
7,0,0,0,0.934705299965572,1,0,0,0,0,0
7,0,1,0,0.848688600002788,1,0,0,1,0,0
7,0,1,0,2.12319199997,1,0,0,1,0,0
7,2,1,1,0.988790299976245,0,1,0,0,1,0
7,2,1,1,1.24074269999983,0,1,0,0,1,0
7,2,0,1,1.30247009999584,0,1,0,0,0,0
7,2,1,1,0.922585899999831,0,1,0,0,1,0
7,4,0,1,0.52618149999762,0,0,1,0,0,0
7,0,1,0,0.918510299990885,1,0,0,1,0,0
7,2,1,1,0.569692499993835,0,1,0,0,1,0
7,0,0,1,0.465869100007694,1,0,0,0,0,0
7,2,0,1,1.55980980000459,0,1,0,0,0,0
7,0,0,0,0.976134199998342,1,0,0,0,0,0
7,2,0,1,0.421547400008421,0,1,0,0,0,0
7,2,0,1,0.947274299978744,0,1,0,0,0,0
7,0,1,1,0.993361199973151,1,0,0,1,0,0
7,0,1,0,0.841333199990913,1,0,0,1,0,0
7,0,1,0,1.01918980001938,1,0,0,1,0,0
7,4,0,1,0.851975900004618,0,0,1,0,0,0
7,4,0,1,0.695685399987269,0,0,1,0,0,0
7,4,0,1,0.349016199994367,0,0,1,0,0,0
