subj_idx,rhythm,response,stim,rt,change_number
14,0,1,1,0.921823100070469,2
14,1,1,1,0.645635099965148,4
14,1,0,0,0.763137199915946,0
14,0,1,1,0.670181399909779,2
14,0,1,1,0.420736399944872,4
14,1,0,1,0.881630400079302,2
14,1,1,1,0.881957600009628,4
14,1,0,1,1.8562439000234,2
14,0,0,1,0.641553499968722,2
14,0,1,1,0.937195500009693,2
14,0,1,1,0.645817299955525,4
14,0,1,1,0.469261799938977,4
14,0,0,0,0.91539570002351,0
14,1,0,0,0.865528099937364,0
14,1,0,1,0.729899699916132,2
14,1,1,1,0.611946400022134,2
14,0,0,0,0.729379500029609,0
14,0,1,1,1.18495479994453,2
14,1,1,1,1.8402960000094,4
14,0,0,1,2.62916170002427,4
14,1,0,0,0.698264300008304,0
14,0,1,0,1.19701709994115,0
14,0,0,1,2.21805939998012,4
14,0,0,1,0.725739000015892,2
14,1,1,1,1.0065837999573,2
14,1,1,1,0.80693279998377,2
14,1,0,0,0.96434920001775,0
15,0,0,1,1.05907370010391,2
15,0,1,0,1.78529930009972,0
15,0,1,1,1.71703579998575,2
15,1,1,1,1.25408850004897,2
15,0,1,1,2.10172310005873,2
15,1,1,0,1.88387899997178,0
15,0,0,1,0.677759899990633,2
15,0,0,1,1.18145669996738,2
15,0,1,1,1.66543069994077,4
15,1,1,0,1.55754219996743,0
15,1,1,1,1.42130309995264,2
15,0,1,1,1.27150659996551,4
15,0,1,1,1.05951189994812,2
15,1,0,1,0.562606599996798,2
15,0,0,1,0.927700400003232,4
15,1,0,0,1.1763873999007,0
15,0,1,1,1.2799975000089,4
15,1,1,1,1.21195679996163,2
15,1,0,1,0.335886000073515,2
15,0,0,1,0.414322700002231,2
15,0,0,0,1.19510330003686,0
15,0,1,1,1.14382850006223,2
15,0,1,0,0.689552299911156,0
15,0,0,0,1.31551850005053,0
15,1,1,1,0.949298599967733,4
15,1,0,1,1.14703019999433,4
15,1,1,0,1.41610269993544,0
15,0,0,1,1.40626690001227,4
15,1,0,1,1.64864979998674,2
15,0,1,0,0.874423099914566,0
15,1,1,1,0.965453500044532,4
15,0,1,1,2.35005290003028,2
15,1,0,0,1.32207320001908,0
15,1,0,0,1.3925167999696,0
15,0,0,1,1.38552010001149,4
